"SMP","X","Y","RAMA","SUBRAMA"
"047-028-009",-58.4479477150691,-34.6049099490533,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-029-001",-58.4482247001044,-34.6046730080346,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-029-007",-58.4486215256707,-34.6042398428476,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-029-031",-58.448322616281,-34.6047383681703,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-030-014",-58.449674571593,-34.6031160296377,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-043-010C",-58.445553248585,-34.6070892820671,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-043-010D",-58.4454110349873,-34.6070822143265,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-043-013",-58.4449921441861,-34.6069150023405,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-043-017A",-58.4445450198927,-34.6068024625724,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-044-017",-58.4458008040224,-34.6068109159386,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-045-009",-58.4468921604976,-34.6054007629423,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-045-026",-58.445829906843,-34.6054932255385,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-061-014",-58.4441408680152,-34.6067109715544,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-064-005",-58.4461960423411,-34.6040344973742,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-064-017",-58.4463016304311,-34.6046371781658,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-073-009",-58.4451019794418,-34.6042156976052,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-074-006",-58.4454945859122,-34.6035275937151,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-074-020",-58.444937506432,-34.6035770702018,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-009-008",-58.4550478460743,-34.6016176634801,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"047-020-002",-58.4531852683568,-34.6011642155613,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-021-019",-58.4536804217247,-34.6009064795787,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-021-020",-58.4536053045036,-34.6008567303481,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-022A-001",-58.4539738291644,-34.600057579503,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-034-026",-58.4526041860018,-34.5999977184463,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-035B-021",-58.4532368235753,-34.5992343034974,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-069-022A",-58.4499657326837,-34.5998584970137,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-032-025",-58.4508866158894,-34.6017448486961,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-049-008D",-58.4502385137016,-34.6017446057225,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-049-008E",-58.4501604000534,-34.601832724546,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-067-011",-58.4494239038322,-34.6012458910688,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-077-026",-58.4469304201957,-34.6009909368522,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-093-010",-58.4447135865928,-34.6029091455752,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-093-024A",-58.4436110183996,-34.6028404450312,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-093-024B",-58.4436544351887,-34.6027917571748,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-108-001C",-58.440109821296,-34.6047260390354,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-108-023A",-58.439577376858,-34.6054855013545,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-109-011",-58.4416097739849,-34.6044188543741,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-109-027",-58.4402752672041,-34.6044917464996,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-111-008C",-58.4431507791518,-34.6028267197671,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-111-013",-58.4428139450657,-34.6031023709654,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-111-030",-58.4423732939657,-34.6025304514639,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-112-012",-58.4431388846058,-34.6024503326936,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-112-014B",-58.4428469177406,-34.602279722056,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-128-036",-58.4389238024747,-34.6044121414865,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-129-003B",-58.4404481033421,-34.6036164912738,"SERVICIO DE HOTELERIA Y RESTAURANTES","HOTELERIA"
"047-094-002",-58.4448384828907,-34.6017439479643,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
"047-094-027",-58.4442310317045,-34.6022297968822,"HOTELERIA Y GASTRONOMIA","GASTRONOMIA"
